"Date","Payee","Account number","Transaction type","Payment reference","Amount (EUR)","Amount (Foreign Currency)","Type Foreign Currency","Exchange Rate"
"2026-05-27","CARREFOUR CITY","","MasterCard Payment","","-58.30","","",""
"2026-05-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2026-06-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-06-02","LIDL 1234","","MasterCard Payment","","-81.56","","",""
"2026-06-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-06-05","NETFLIX.COM","","MasterCard Payment","","-15.99","","",""
"2026-06-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-06-10","CARREFOUR CITY","","MasterCard Payment","","-92.17","","",""
"2026-06-10","PHARMACIE CENTRALE","","MasterCard Payment","","-17.10","","",""
"2026-06-11","Refund NETFLIX.COM","","MasterCard Payment","","2.50","","",""
"2026-06-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2026-06-17","PHARMACIE CENTRALE","","MasterCard Payment","","-39.54","","",""
"2026-06-18","LIDL 1234","","MasterCard Payment","","-24.22","","",""
"2026-06-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-06-23","LIDL 1234","","MasterCard Payment","","-68.90","","",""
"2026-06-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2026-06-30","LIDL 1234","","MasterCard Payment","","-66.77","","",""
"2026-07-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-07-02","SNCF CONNECT","","MasterCard Payment","","-112.90","","",""
"2026-07-02","UBER EATS","","MasterCard Payment","","-52.15","","",""
"2026-07-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-07-05","NETFLIX.COM","","MasterCard Payment","","-15.99","","",""
"2026-07-05","UBER EATS","","MasterCard Payment","","-20.31","","",""
"2026-07-08","CINEMA PATHE","","MasterCard Payment","","-22.95","","",""
"2026-07-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-07-10","CARREFOUR CITY","","MasterCard Payment","","-24.50","","",""
"2026-07-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2026-07-17","CARREFOUR CITY","","MasterCard Payment","","-88.16","","",""
"2026-07-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-07-22","LE PETIT BISTROT","","MasterCard Payment","","-8.44","","",""
"2026-07-24","LIDL 1234","","MasterCard Payment","","-55.66","","",""
"2026-07-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2026-07-29","CARREFOUR CITY","","MasterCard Payment","","-58.15","","",""
"2026-08-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-08-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-08-05","NETFLIX.COM","","MasterCard Payment","","-15.99","","",""
"2026-08-05","LIDL 1234","","MasterCard Payment","","-16.42","","",""
"2026-08-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-08-11","UBER EATS","","MasterCard Payment","","-11.37","","",""
"2026-08-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2026-08-15","LIDL 1234","","MasterCard Payment","","-64.00","","",""
"2026-08-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-08-23","LIDL 1234","","MasterCard Payment","","-51.77","","",""
"2026-08-26","UBER EATS","","MasterCard Payment","","-26.44","","",""
"2026-08-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2026-08-31","CARREFOUR CITY","","MasterCard Payment","","-31.99","","",""
"2026-09-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-09-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-09-05","NETFLIX.COM","","MasterCard Payment","","-15.99","","",""
"2026-09-05","CARREFOUR CITY","","MasterCard Payment","","-95.24","","",""
"2026-09-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-09-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2026-09-13","CARREFOUR CITY","","MasterCard Payment","","-71.57","","",""
"2026-09-19","LIDL 1234","","MasterCard Payment","","-86.58","","",""
"2026-09-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-09-25","CARREFOUR CITY","","MasterCard Payment","","-58.79","","",""
"2026-09-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
